original_term_id	slim_term_id
format:3708	format:1915
format:2553	format:1915
format:2206	format:1915
format:1475	format:1915
format:2555	format:1915
format:3099	format:1915
format:3651	format:1915
format:2556	format:1915
format:3619	format:1915
format:2040	format:1915
format:3701	format:1915
format:3702	format:1915
format:2057	format:1915
format:3863	format:1915
format:2543	format:1915
format:2919	format:1915
format:2554	format:1915
format:3841	format:1915
format:2546	format:1915
format:3098	format:1915
format:2171	format:1915
format:3652	format:1915
format:2561	format:1915
format:2196	format:1915
format:2547	format:1915
format:3765	format:1915
format:3865	format:1915
format:3618	format:1915
format:2037	format:1915
format:2039	format:1915
format:3653	format:1915
format:3862	format:1915
format:2017	format:1915
format:2072	format:1915
format:3330	format:1915
format:2545	format:1915
format:2038	format:1915
format:2172	format:1915
format:3313	format:1915
format:2551	format:1915
format:2552	format:1915
format:3156	format:1915
format:2920	format:1915
