id	method	protocol	rank	event_ts
DATA_EVENT.00047721	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047724	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047725	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047728	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047729	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047732	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047733	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047736	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047737	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047740	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047741	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047744	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047745	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047748	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047749	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047752	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047753	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047756	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-19
DATA_EVENT.00047757	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-19
DATA_EVENT.00047760	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-23
DATA_EVENT.00047761	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-23
DATA_EVENT.00047764	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047765	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047768	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047769	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047772	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047773	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047776	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047777	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047780	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047781	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047784	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047785	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047788	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047789	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047792	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047793	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
