FileID	DatasetID
FILE_ID.00000442	DATASET.00000001
FILE_ID.00000443	DATASET.00000003
FILE_ID.00000446	DATASET.00000001
FILE_ID.00000447	DATASET.00000003
FILE_ID.00000450	DATASET.00000001
FILE_ID.00000451	DATASET.00000003
FILE_ID.00000454	DATASET.00000001
FILE_ID.00000455	DATASET.00000003
FILE_ID.00000458	DATASET.00000001
FILE_ID.00000459	DATASET.00000003
FILE_ID.00000462	DATASET.00000001
FILE_ID.00000463	DATASET.00000003
FILE_ID.00000466	DATASET.00000001
FILE_ID.00000467	DATASET.00000003
FILE_ID.00000470	DATASET.00000001
FILE_ID.00000471	DATASET.00000003
FILE_ID.00000474	DATASET.00000001
FILE_ID.00000475	DATASET.00000003
FILE_ID.00000478	DATASET.00000001
FILE_ID.00000479	DATASET.00000003
FILE_ID.00000482	DATASET.00000001
FILE_ID.00000483	DATASET.00000003
FILE_ID.00000486	DATASET.00000001
FILE_ID.00000487	DATASET.00000003
FILE_ID.00000490	DATASET.00000001
FILE_ID.00000491	DATASET.00000003
FILE_ID.00000494	DATASET.00000001
FILE_ID.00000495	DATASET.00000003
FILE_ID.00000498	DATASET.00000001
FILE_ID.00000499	DATASET.00000003
FILE_ID.00000502	DATASET.00000001
FILE_ID.00000503	DATASET.00000003
FILE_ID.00000506	DATASET.00000001
FILE_ID.00000507	DATASET.00000003
FILE_ID.00000510	DATASET.00000001
FILE_ID.00000511	DATASET.00000003
FILE_ID.00000514	DATASET.00000001
FILE_ID.00000515	DATASET.00000003
FILE_ID.00000518	DATASET.00000001
FILE_ID.00000519	DATASET.00000003
FILE_ID.00000522	DATASET.00000001
FILE_ID.00000523	DATASET.00000003
FILE_ID.00000526	DATASET.00000001
FILE_ID.00000527	DATASET.00000003
FILE_ID.00000530	DATASET.00000001
FILE_ID.00000531	DATASET.00000003
FILE_ID.00000534	DATASET.00000001
FILE_ID.00000535	DATASET.00000003
FILE_ID.00000538	DATASET.00000001
FILE_ID.00000539	DATASET.00000003
FILE_ID.00000542	DATASET.00000001
FILE_ID.00000543	DATASET.00000003
FILE_ID.00000546	DATASET.00000001
FILE_ID.00000547	DATASET.00000003
FILE_ID.00000550	DATASET.00000001
FILE_ID.00000551	DATASET.00000003
FILE_ID.00000554	DATASET.00000001
FILE_ID.00000555	DATASET.00000003
FILE_ID.00000558	DATASET.00000001
FILE_ID.00000559	DATASET.00000003
FILE_ID.00000562	DATASET.00000001
FILE_ID.00000563	DATASET.00000003
FILE_ID.00000566	DATASET.00000001
FILE_ID.00000567	DATASET.00000003
FILE_ID.00000570	DATASET.00000001
FILE_ID.00000571	DATASET.00000003
FILE_ID.00000574	DATASET.00000001
FILE_ID.00000575	DATASET.00000003
FILE_ID.00000578	DATASET.00000001
FILE_ID.00000579	DATASET.00000003
FILE_ID.00000582	DATASET.00000001
FILE_ID.00000583	DATASET.00000003
FILE_ID.00000586	DATASET.00000001
FILE_ID.00000587	DATASET.00000003
FILE_ID.00000590	DATASET.00000001
FILE_ID.00000591	DATASET.00000003
FILE_ID.00000594	DATASET.00000001
FILE_ID.00000595	DATASET.00000003
